2524_3939_206.txt (3622.44897959, 0.002) (3613.26530612, 0.001) (3205.10204082, 0.0) (3622.44897959, 0.0, (-1000000.0, 10.0))
5070_7455_521.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4188.7755102, 0.0) (4218.36734694, 0.0, (-1000000.0, 80.0))
792_1323_1202.txt (1330.6122449, 0.007) (1505.10204082, 0.006) (1294.89795918, 0.0) (1461.2244898, 0.0, (-1000000.0, 40.0))
464_635_2424.txt (1860.20408163, 0.022) (2083.67346939, 0.045) (1853.06122449, 0.003) (1873.46938776, 0.0, (-1000000.0, 70.0))
5525_7792_2847.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4188.7755102, 0.0) (4218.36734694, 0.0, (-1000000.0, 90.0))
1215_1984_2845.txt (2682.65306122, 0.0) (2908.16326531, 0.034) (2508.16326531, 0.0) (2790.81632653, 0.0, (-1000000.0, 20.0))
2603_3849_1881.txt (3254.08163265, 0.002) (3490.81632653, 0.028) (2892.85714286, 0.0) (3165.30612245, 0.0, (-1000000.0, 60.0))
354_181_7491.txt (3630.6122449, 0.0) (3923.46938776, 0.0) (3646.93877551, 0.0) (3923.46938776, 0.0, (-1000000.0, 0.0))
2589_3831_1436.txt (3282.65306122, 0.0) (3388.7755102, 0.0) (3069.3877551, 0.0) (3420.40816327, 0.0, (-1000000.0, 10.0))
4297_5698_7493.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4109.18367347, 0.0) (4218.36734694, 0.0, (-1000000.0, 90.0))
4883_6592_4203.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4086.73469388, 0.0) (4218.36734694, 0.0, (-1000000.0, 20.0))
5858_8369_2378.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4218.36734694, 0.0) (4218.36734694, 0.0, (-1000000.0, 100.0))
293_481_6329.txt (3712.24489796, 0.0) (4155.10204082, 0.0) (3723.46938776, 0.0) (4155.10204082, 0.0, (-1000000.0, 0.0))
1660_2416_4740.txt (3686.73469388, 0.0) (4040.81632653, 0.0) (3627.55102041, 0.0) (4040.81632653, 0.0, (-1000000.0, 0.0))
3015_4360_2523.txt (4007.14285714, 0.0) (4159.18367347, 0.012) (3608.16326531, 0.0) (4029.59183673, 0.0, (-1000000.0, 20.0))
1474_2445_518.txt (2248.97959184, 0.0) (2326.53061224, 0.008) (2069.3877551, 0.0) (2296.93877551, 0.0, (-1000000.0, 10.0))
2287_3185_2549.txt (3161.2244898, 0.0) (3373.46938776, 0.0) (2846.93877551, 0.0) (3373.46938776, 0.0, (-1000000.0, 0.0))
2778_3977_5049.txt (3812.24489796, 0.0) (4218.36734694, 0.0) (3825.51020408, 0.0) (4218.36734694, 0.0, (-1000000.0, 0.0))
5006_6834_6686.txt (4045.91836735, 0.0) (4218.36734694, 0.0) (4159.18367347, 0.0) (4218.36734694, 0.0, (-1000000.0, 60.0))
1220_1525_2969.txt (2453.06122449, 0.003) (2676.53061224, 0.013) (2419.3877551, 0.0) (2584.69387755, 0.0, (-1000000.0, 40.0))
2395_3187_4623.txt (3687.75510204, 0.003) (4068.36734694, 0.017) (3580.6122449, 0.0) (3655.10204082, 0.0, (-1000000.0, 70.0))
