-10.2802438401 7.51148931014
buff 	-13.53 	-13.28 	-13.03 	-12.78 	-12.53 	-12.28 	-12.03 	-11.78 	-11.53 	-11.28 	-11.03 	-10.78 	-10.53 	-10.28 	-10.03 	-9.78 	-9.53 	-9.28 
26.0	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	2850	2850	1850	1850	1200	750
26.5	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	2850	1850	1850	1200	1200
27.0	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	2850	1850	1850	1200	1200
27.5	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	2850	2850	1850	1200	1200
28.0	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	2850	2850	1850	1850	1200
28.5	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	2850	1850	1850	1200
29.0	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	2850	2850	1850	1200
29.5	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	2850	2850	1850	1850
30.0	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	2850	2850	1850	1850
30.5	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	2850	1850	1850
31.0	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	2850	2850	1850
31.5	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	2850	2850	1850
32.0	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	2850	2850	1850
32.5	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	2850	1850
33.0	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	2850	2850
33.5	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	2850	2850
34.0	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	2850
34.5	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	2850
35.0	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	2850
35.5	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	4300	2850
