/home/zahaib/convivaProj/convivaData/precisionserver_history_clientIp_time_day_low_bw/10003.out QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-1000 0.01', '1042.5 0.0'), ('-1000 0.05', '1527.53125 0.0'), ('-1000 0.09', '2116.21875 0.0'), ('-1000 0.13', '4050.28125 0.0'), ('-1000 0.17', '2699.0625 0.0'), ('-1000 0.21', '3035.21875 0.0'), ('-1000 0.25', '4699.625 0.0'), ('-1000 0.29', '4699.625 0.0'), ('-1000 0.33', '5006.875 0.0'), ('-1000 0.37', '5274.625 0.0'), ('-1000 0.41', '5274.625 0.0'), ('-1000 0.45', '5274.625 0.0'), ('-1000 0.49', '5274.625 0.0'), ('-1000 0.53', '5274.625 0.0'), ('-1000 0.57', '5274.625 0.0'), ('-1000 0.61', '5274.625 0.0'), ('-1000 0.65', '5274.625 0.0'), ('-1000 0.69', '5274.625 0.0'), ('-1000 0.73', '5274.625 0.0'), ('-1000 0.77', '5274.625 0.0'), ('-1000 0.81', '5274.625 0.0'), ('-1000 0.85', '5274.625 0.0'), ('-1000 0.89', '5274.625 0.0'), ('-1000 0.93', '5274.625 0.0'), ('-1000 0.97', '5274.625 0.0')])
/home/zahaib/convivaProj/convivaData/precisionserver_history_clientIp_time_day_low_bw/1004.out QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-1000 0.01', '1002.0 0.004'), ('-1000 0.05', '1141.42857143 0.004'), ('-1000 0.09', '1295.67857143 0.004'), ('-1000 0.13', '1287.53571429 0.004'), ('-1000 0.17', '1346.67857143 0.004'), ('-1000 0.21', '1489.32142857 0.014'), ('-1000 0.25', '1499.75 0.073'), ('-1000 0.29', '1566.46428571 0.146'), ('-1000 0.33', '1567.07142857 0.145'), ('-1000 0.37', '1567.07142857 0.145'), ('-1000 0.41', '2141.0 0.146'), ('-1000 0.45', '2347.46153846 0.183'), ('-1000 0.49', '1643.89285714 0.146'), ('-1000 0.53', '1988.53571429 0.201'), ('-1000 0.57', '1632.5 0.18'), ('-1000 0.61', '1676.21428571 0.19'), ('-1000 0.65', '1707.07142857 0.147'), ('-1000 0.69', '1925.03571429 0.218'), ('-1000 0.73', '2197.64 0.191'), ('-1000 0.77', '2197.64 0.191'), ('-1000 0.81', '2197.64 0.191'), ('-1000 0.85', '1754.17857143 0.152'), ('-1000 0.89', '1754.17857143 0.152'), ('-1000 0.93', '1754.17857143 0.152'), ('-1000 0.97', '1973.17857143 0.18')])
/home/zahaib/convivaProj/convivaData/precisionserver_history_clientIp_time_day_low_bw/10032.out QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-1000 0.01', '1027.41176471 0.0'), ('-1000 0.05', '1754.32352941 0.0'), ('-1000 0.09', '1889.11764706 0.0'), ('-1000 0.13', '3937.26470588 0.0'), ('-1000 0.17', '4013.97058824 0.0'), ('-1000 0.21', '3528.82352941 0.0'), ('-1000 0.25', '3291.91176471 0.0'), ('-1000 0.29', '3291.91176471 0.0'), ('-1000 0.33', '5012.26470588 0.0'), ('-1000 0.37', '5012.26470588 0.0'), ('-1000 0.41', '4840.97058824 0.0'), ('-1000 0.45', '5274.14705882 0.0'), ('-1000 0.49', '5274.14705882 0.0'), ('-1000 0.53', '5202.14705882 0.0'), ('-1000 0.57', '5202.14705882 0.0'), ('-1000 0.61', '5454.14705882 0.0'), ('-1000 0.65', '5454.14705882 0.0'), ('-1000 0.69', '5454.14705882 0.0'), ('-1000 0.73', '5454.14705882 0.0'), ('-1000 0.77', '5454.14705882 0.0'), ('-1000 0.81', '5454.14705882 0.0'), ('-1000 0.85', '5454.14705882 0.0'), ('-1000 0.89', '5454.14705882 0.0'), ('-1000 0.93', '5454.14705882 0.0'), ('-1000 0.97', '5454.14705882 0.0')])
/home/zahaib/convivaProj/convivaData/precisionserver_history_clientIp_time_day_low_bw/10007.out QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-1000 0.01', '1002.0 0.0'), ('-1000 0.05', '2091.71875 0.0'), ('-1000 0.09', '2116.46875 0.0'), ('-1000 0.13', '2709.40625 0.0'), ('-1000 0.17', '3173.75 0.0'), ('-1000 0.21', '3497.875 0.0'), ('-1000 0.25', '3999.53125 0.0'), ('-1000 0.29', '3481.40625 0.0'), ('-1000 0.33', '3654.1875 0.0'), ('-1000 0.37', '3744.59375 0.0'), ('-1000 0.41', '3744.59375 0.0'), ('-1000 0.45', '3744.59375 0.0'), ('-1000 0.49', '4192.84375 0.0'), ('-1000 0.53', '3391.96875 0.0'), ('-1000 0.57', '3697.03125 0.0'), ('-1000 0.61', '4440.75 0.0'), ('-1000 0.65', '4440.75 0.0'), ('-1000 0.69', '4265.90625 0.009'), ('-1000 0.73', '4277.6875 0.014'), ('-1000 0.77', '4277.6875 0.014'), ('-1000 0.81', '4105.03125 0.025'), ('-1000 0.85', '4084.625 0.021'), ('-1000 0.89', '3970.59375 0.016'), ('-1000 0.93', '4004.21875 0.021'), ('-1000 0.97', '4004.21875 0.021')])
/home/zahaib/convivaProj/convivaData/precisionserver_history_clientIp_time_day_low_bw/10013.out QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-1000 0.01', '1002.0 0.0'), ('-1000 0.05', '1686.32142857 0.0'), ('-1000 0.09', '2184.07142857 0.0'), ('-1000 0.13', '2276.32142857 0.0'), ('-1000 0.17', '2728.89285714 0.0'), ('-1000 0.21', '3277.67857143 0.0'), ('-1000 0.25', '3434.39285714 0.0'), ('-1000 0.29', '3355.10714286 0.0'), ('-1000 0.33', '3549.35714286 0.0'), ('-1000 0.37', '3605.32142857 0.0'), ('-1000 0.41', '3667.78571429 0.0'), ('-1000 0.45', '3644.17857143 0.0'), ('-1000 0.49', '3815.21428571 0.0'), ('-1000 0.53', '3492.60714286 0.0'), ('-1000 0.57', '3741.25 0.0'), ('-1000 0.61', '3977.53571429 0.0'), ('-1000 0.65', '4013.5 0.0'), ('-1000 0.69', '3959.64285714 0.0'), ('-1000 0.73', '3967.39285714 0.0'), ('-1000 0.77', '3443.14285714 0.0'), ('-1000 0.81', '4063.0 0.004'), ('-1000 0.85', '4143.78571429 0.003'), ('-1000 0.89', '4065.39285714 0.0'), ('-1000 0.93', '4081.75 0.001'), ('-1000 0.97', '4161.0 0.003')])
/home/zahaib/convivaProj/convivaData/precisionserver_history_clientIp_time_day_low_bw/10002.out QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-1000 0.01', '1002.0 0.006'), ('-1000 0.05', '1002.0 0.006'), ('-1000 0.09', '1002.0 0.006'), ('-1000 0.13', '1002.0 0.006'), ('-1000 0.17', '1002.0 0.006'), ('-1000 0.21', '1014.70588235 0.006'), ('-1000 0.25', '1040.11764706 0.006'), ('-1000 0.29', '1052.82352941 0.006'), ('-1000 0.33', '1104.11764706 0.006'), ('-1000 0.37', '1128.79411765 0.006'), ('-1000 0.41', '1128.79411765 0.006'), ('-1000 0.45', '1173.14705882 0.006'), ('-1000 0.49', '1166.91176471 0.006'), ('-1000 0.53', '1185.85294118 0.006'), ('-1000 0.57', '1142.0 0.012'), ('-1000 0.61', '1211.26470588 0.013'), ('-1000 0.65', '1129.05882353 0.019'), ('-1000 0.69', '1116.35294118 0.009'), ('-1000 0.73', '1129.05882353 0.018'), ('-1000 0.77', '1272.91176471 0.021'), ('-1000 0.81', '1129.05882353 0.019'), ('-1000 0.85', '1172.42424242 0.028'), ('-1000 0.89', '1263.27272727 0.028'), ('-1000 0.93', '1267.78787879 0.028'), ('-1000 0.97', '1159.09090909 0.03')])
/home/zahaib/convivaProj/convivaData/precisionserver_history_clientIp_time_day_low_bw/1.out QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-1000 0.01', '1046.68965517 0.0'), ('-1000 0.05', '1031.79310345 0.0'), ('-1000 0.09', '3048.37931034 0.0'), ('-1000 0.13', '3468.06896552 0.0'), ('-1000 0.17', '3506.65517241 0.0'), ('-1000 0.21', '4012.17241379 0.0'), ('-1000 0.25', '4168.96551724 0.0'), ('-1000 0.29', '4143.96551724 0.0'), ('-1000 0.33', '4405.5862069 0.0'), ('-1000 0.37', '4273.03448276 0.0'), ('-1000 0.41', '4273.03448276 0.0'), ('-1000 0.45', '4601.27586207 0.0'), ('-1000 0.49', '4280.93103448 0.0'), ('-1000 0.53', '3137.48275862 0.0'), ('-1000 0.57', '4553.89655172 0.0'), ('-1000 0.61', '4611.89655172 0.0'), ('-1000 0.65', '4288.79310345 0.001'), ('-1000 0.69', '4228.62068966 0.013'), ('-1000 0.73', '4325.86206897 0.003'), ('-1000 0.77', '4659.20689655 0.003'), ('-1000 0.81', '4659.20689655 0.003'), ('-1000 0.85', '4273.03448276 0.021'), ('-1000 0.89', '4475.0 0.0'), ('-1000 0.93', '4665.62068966 0.0'), ('-1000 0.97', '4516.79310345 0.0')])
/home/zahaib/convivaProj/convivaData/precisionserver_history_clientIp_time_day_low_bw/10010.out QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-1000 0.01', '1026.68571429 0.0'), ('-1000 0.05', '2153.08571429 0.0'), ('-1000 0.09', '3114.0 0.0'), ('-1000 0.13', '3250.08571429 0.0'), ('-1000 0.17', '3421.85714286 0.0'), ('-1000 0.21', '3303.42857143 0.0'), ('-1000 0.25', '3788.54285714 0.0'), ('-1000 0.29', '4647.94285714 0.0'), ('-1000 0.33', '3810.8 0.0'), ('-1000 0.37', '4402.4 0.0'), ('-1000 0.41', '4402.4 0.0'), ('-1000 0.45', '3626.4 0.0'), ('-1000 0.49', '4433.14285714 0.0'), ('-1000 0.53', '3661.37142857 0.0'), ('-1000 0.57', '4378.2 0.0'), ('-1000 0.61', '4378.2 0.0'), ('-1000 0.65', '4727.42857143 0.0'), ('-1000 0.69', '4946.85714286 0.0'), ('-1000 0.73', '4977.6 0.0'), ('-1000 0.77', '4933.08571429 0.025'), ('-1000 0.81', '4933.08571429 0.025'), ('-1000 0.85', '4933.08571429 0.025'), ('-1000 0.89', '4933.08571429 0.025'), ('-1000 0.93', '4933.08571429 0.025'), ('-1000 0.97', '5007.6 0.025')])
/home/zahaib/convivaProj/convivaData/precisionserver_history_clientIp_time_day_low_bw/10004.out QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-1000 0.01', '1002.0 0.004'), ('-1000 0.05', '1002.0 0.004'), ('-1000 0.09', '1231.8 0.004'), ('-1000 0.13', '1399.53333333 0.004'), ('-1000 0.17', '1543.8 0.004'), ('-1000 0.21', '1539.4 0.004'), ('-1000 0.25', '1582.86666667 0.004'), ('-1000 0.29', '1599.93333333 0.004'), ('-1000 0.33', '1685.5 0.004'), ('-1000 0.37', '1784.16666667 0.004'), ('-1000 0.41', '1643.13333333 0.004'), ('-1000 0.45', '1886.03333333 0.004'), ('-1000 0.49', '1929.5 0.004'), ('-1000 0.53', '1976.56666667 0.004'), ('-1000 0.57', '1934.06666667 0.004'), ('-1000 0.61', '2124.1 0.004'), ('-1000 0.65', '1842.6 0.004'), ('-1000 0.69', '1886.06666667 0.004'), ('-1000 0.73', '1958.2 0.004'), ('-1000 0.77', '1873.5 0.004'), ('-1000 0.81', '1858.26666667 0.004'), ('-1000 0.85', '1912.6 0.004'), ('-1000 0.89', '2116.5 0.004'), ('-1000 0.93', '2159.96666667 0.004'), ('-1000 0.97', '2159.96666667 0.004')])
/home/zahaib/convivaProj/convivaData/precisionserver_history_clientIp_time_day_low_bw/10020.out QoE: -9223372036854775807 avg. bitrate: 0 buf. ratio: 0 optimal A: 0 mapping: OrderedDict([('-1000 0.01', '1142.23529412 0.0'), ('-1000 0.05', '3319.70588235 0.0'), ('-1000 0.09', '4279.17647059 0.0'), ('-1000 0.13', '5023.29411765 0.0'), ('-1000 0.17', '5023.29411765 0.0'), ('-1000 0.21', '5023.29411765 0.0'), ('-1000 0.25', '5023.29411765 0.0'), ('-1000 0.29', '5023.29411765 0.0'), ('-1000 0.33', '5205.02941176 0.0'), ('-1000 0.37', '5205.02941176 0.0'), ('-1000 0.41', '5205.02941176 0.0'), ('-1000 0.45', '5205.02941176 0.0'), ('-1000 0.49', '5205.02941176 0.0'), ('-1000 0.53', '5205.02941176 0.0'), ('-1000 0.57', '5205.02941176 0.0'), ('-1000 0.61', '5412.64705882 0.0'), ('-1000 0.65', '5412.64705882 0.0'), ('-1000 0.69', '5412.64705882 0.0'), ('-1000 0.73', '5412.64705882 0.0'), ('-1000 0.77', '5412.64705882 0.0'), ('-1000 0.81', '5530.11764706 0.0'), ('-1000 0.85', '5530.11764706 0.0'), ('-1000 0.89', '5530.11764706 0.0'), ('-1000 0.93', '5530.11764706 0.0'), ('-1000 0.97', '5530.11764706 0.0')])
