1 100 1268.77202222 2537.52433333 2731.90935294 2792.69810256 2827.1665098
2 300 1260.17708237 2528.59703958 2733.35946667 2792.94538095 2829.62344
3 500 1240.75113025 2516.21149629 2731.90935294 2792.69810256 2829.32248259
4 700 1217.12390016 2500.7313097 2730.656625 2792.69810256 2829.27670833
5 900 1171.40733813 2444.51553853 2720.50903125 2788.65346341 2829.27670833
6 1100 1157.18335929 2429.29657639 2715.15825806 2785.14183784 2829.02925424
7 1300 1153.77037909 2430.53489123 2725.7049697 2791.19836877 2829.38074074
8 1500 1141.12771591 2373.98539269 2699.0164375 2772.32842016 2825.31740426
9 1700 1143.3004631 2382.79384347 2707.36875862 2785.14183784 2829.27670833
10 1900 1143.25092871 2369.88260138 2699.0164375 2778.5397561 2828.82261905
11 2100 1102.14296423 2266.05994048 2632.92928125 2759.19405714 2823.69192308
#12 2300 1115.60130992 2308.45919445 2649.82370909 2759.19405714 2825.31740426
#13 2500 1078.70902918 2247.89032515 2610.66644444 2753.34925 2823.15215
#14 2700 1101.6254875 2315.56405278 2645.35946341 2755.62340541 2822.99032653
#15 3000 1091.08777007 2306.35945694 2637.07633333 2752.77604762 2820.70276923
